Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Sep 14 00:52:31 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       large_multiplier_wrapper_map.ncd
OUTPUT FILE:      large_multiplier_wrapper_pad.txt
PART TYPE:        xc6vlx75t
SPEED GRADE:      -3
PACKAGE:          ff784

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A13       |           |         |VCCO_26                   |         |           |26            |          |         |           |         |any******|          |           |                |
|A14       |           |IOBS     |IO_L9N_MRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A15       |           |IOBM     |IO_L13P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A16       |           |IOBS     |IO_L13N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A17       |           |IOBM     |IO_L17P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A18       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A19       |in1<60>    |IOB      |IO_L8N_SRCC_25            |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A20       |in1<51>    |IOB      |IO_L8P_SRCC_25            |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A21       |in1<18>    |IOB      |IO_L11P_SRCC_25           |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A22       |in1<19>    |IOB      |IO_L11N_SRCC_25           |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A23       |           |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|A24       |outp<5>    |IOB      |IO_L15P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A25       |outp<6>    |IOB      |IO_L15N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A26       |           |IOBM     |IO_L7P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|A27       |           |IOBS     |IO_L7N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|A28       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA1       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA2       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA3       |           |IPAD     |MGTREFCLK0N_114           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AA4       |           |IPAD     |MGTREFCLK0P_114           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AA5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA6       |           |         |TDI_0                     |         |           |              |          |         |           |         |         |          |           |                |
|AA7       |in0<51>    |IOB      |IO_L2P_SM0P_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AA8       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA9       |in0<59>    |IOB      |IO_L4P_35                 |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AA10      |in0<50>    |IOB      |IO_L1N_35                 |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AA11      |           |IOBS     |IO_L9N_MRCC_35            |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AA12      |outp<72>   |IOB      |IO_L8N_SRCC_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA13      |           |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AA14      |           |IOBS     |IO_L3N_A12_D28_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AA15      |outp<87>   |IOB      |IO_L16P_A21_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA16      |outp<89>   |IOB      |IO_L17P_A19_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA17      |outp<94>   |IOB      |IO_L19N_VRP_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA18      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA22      |outp<54>   |IOB      |IO_L19N_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA23      |           |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AA24      |outp<27>   |IOB      |IO_L6P_D7_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA25      |outp<28>   |IOB      |IO_L6N_D6_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA26      |outp<20>   |IOB      |IO_L0P_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA27      |outp<21>   |IOB      |IO_L0N_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA28      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB1       |           |OPAD     |MGTTXP2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB2       |           |OPAD     |MGTTXN2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB3       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB4       |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AB5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB6       |           |         |TCK_0                     |         |           |              |          |         |           |         |         |          |           |                |
|AB7       |in0<52>    |IOB      |IO_L2N_SM0N_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AB8       |in0<63>    |IOB      |IO_L6N_SM3N_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AB9       |in0<56>    |IOB      |IO_L4N_VREF_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AB10      |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AB11      |           |IOBM     |IO_L9P_MRCC_35            |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AB12      |outp<67>   |IOB      |IO_L1P_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB13      |outp<61>   |IOB      |IO_L3P_A13_D29_34         |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB14      |           |IOBM     |IO_L5P_A09_D25_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AB15      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB16      |outp<83>   |IOB      |IO_L14P_A25_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB17      |outp<90>   |IOB      |IO_L17N_A18_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB20      |           |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AB21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB22      |outp<53>   |IOB      |IO_L19P_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB23      |outp<37>   |IOB      |IO_L11P_SRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB24      |outp<48>   |IOB      |IO_L16N_CSO_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB25      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB26      |outp<32>   |IOB      |IO_L8N_SRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB27      |outp<31>   |IOB      |IO_L8P_SRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB28      |outp<15>   |IOB      |IO_L2N_D14_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC1       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC2       |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AC3       |           |IPAD     |MGTRXP3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC4       |           |IPAD     |MGTRXN3_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC6       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC7       |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AC8       |in0<55>    |IOB      |IO_L6P_SM3P_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AC9       |in0<53>    |IOB      |IO_L3P_SM1P_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AC10      |in0<57>    |IOB      |IO_L5P_SM2P_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AC11      |in0<62>    |IOB      |IO_L7N_SM4N_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AC12      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC13      |outp<68>   |IOB      |IO_L1N_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC14      |outp<66>   |IOB      |IO_L5N_A08_D24_34         |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC15      |outp<78>   |IOB      |IO_L11N_SRCC_34           |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC16      |outp<84>   |IOB      |IO_L14N_VREF_A24_34       |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC17      |           |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AC18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AC22      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC23      |outp<38>   |IOB      |IO_L11N_SRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC24      |outp<47>   |IOB      |IO_L16P_RS0_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC25      |outp<29>   |IOB      |IO_L7P_D5_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC26      |outp<39>   |IOB      |IO_L12P_D3_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC27      |           |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AC28      |outp<14>   |IOB      |IO_L2P_D15_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD1       |           |OPAD     |MGTTXP1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD2       |           |OPAD     |MGTTXN1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD3       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD4       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD6       |           |         |VFS_0                     |         |           |              |          |         |           |         |         |          |           |                |
|AD7       |           |IOBM     |IO_L10P_MRCC_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AD8       |in0<54>    |IOB      |IO_L3N_SM1N_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AD9       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD10      |in0<58>    |IOB      |IO_L5N_SM2N_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AD11      |in0<61>    |IOB      |IO_L7P_SM4P_35            |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AD12      |outp<56>   |IOB      |IO_L0N_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD13      |           |IOBM     |IO_L6P_A07_D23_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD14      |           |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AD15      |outp<77>   |IOB      |IO_L11P_SRCC_34           |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD16      |outp<85>   |IOB      |IO_L15P_A23_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD17      |outp<80>   |IOB      |IO_L12N_A02_D18_34        |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD19      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD22      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD23      |outp<52>   |IOB      |IO_L18N_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD24      |           |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AD25      |outp<30>   |IOB      |IO_L7N_D4_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD26      |outp<40>   |IOB      |IO_L12N_D2_FS2_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD27      |outp<18>   |IOB      |IO_L1N_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD28      |outp<17>   |IOB      |IO_L1P_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE1       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE2       |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AE3       |           |IPAD     |MGTRXP2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE4       |           |IPAD     |MGTRXN2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE6       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE7       |           |IOBS     |IO_L10N_MRCC_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE8       |           |IOBS     |IO_L12N_SM5N_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE9       |           |IOBM     |IO_L14P_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE10      |outp<62>   |IOB      |IO_L18N_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE11      |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AE12      |           |IOBS     |IO_L15N_SM7N_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE13      |outp<60>   |IOB      |IO_L0P_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE14      |           |IOBS     |IO_L6N_A06_D22_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE15      |outp<86>   |IOB      |IO_L15N_A22_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE16      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE17      |outp<79>   |IOB      |IO_L12P_A03_D19_34        |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE21      |           |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AE22      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE23      |outp<51>   |IOB      |IO_L18P_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE24      |outp<43>   |IOB      |IO_L14P_FCS_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE25      |outp<35>   |IOB      |IO_L10P_MRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE26      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE27      |outp<26>   |IOB      |IO_L5N_D8_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE28      |outp<25>   |IOB      |IO_L5P_D9_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF1       |           |OPAD     |MGTTXP0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF2       |           |OPAD     |MGTTXN0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF3       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF4       |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AF5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF6       |           |         |DOUT_BUSY_0               |         |           |              |          |         |           |         |         |          |           |                |
|AF7       |           |IOBM     |IO_L12P_SM5P_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF8       |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AF9       |           |IOBS     |IO_L14N_VREF_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF10      |clk        |IOB      |IO_L18P_GC_35             |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AF11      |           |IOBM     |IO_L11P_SRCC_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF12      |           |IOBM     |IO_L15P_SM7P_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF13      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF14      |           |IOBM     |IO_L4P_A11_D27_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF15      |outp<76>   |IOB      |IO_L10N_MRCC_34           |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF16      |outp<81>   |IOB      |IO_L13P_A01_D17_34        |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF17      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF18      |           |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AF19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF22      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF23      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF24      |outp<44>   |IOB      |IO_L14N_VREF_FOE_B_MOSI_24|OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF25      |outp<36>   |IOB      |IO_L10N_MRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF26      |outp<33>   |IOB      |IO_L9P_MRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF27      |outp<22>   |IOB      |IO_L3N_D12_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF28      |           |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AG1       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG2       |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AG3       |           |IPAD     |MGTRXP1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AG4       |           |IPAD     |MGTRXN1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AG5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG6       |           |         |CSI_B_0                   |         |           |              |          |         |           |         |         |          |           |                |
|AG7       |outp<57>   |IOB      |IO_L16P_VRN_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG8       |outp<58>   |IOB      |IO_L16N_VRP_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG9       |           |IOBM     |IO_L13P_SM6P_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AG10      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG11      |           |IOBS     |IO_L11N_SRCC_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AG12      |outp<64>   |IOB      |IO_L19N_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG13      |           |IOBS     |IO_L4N_VREF_A10_D26_34    |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AG14      |outp<75>   |IOB      |IO_L10P_MRCC_34           |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG15      |           |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AG16      |outp<82>   |IOB      |IO_L13N_A00_D16_34        |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG17      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG20      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG22      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
